date,cantidad (TM)
2020-01-01,0
2020-01-02,0
2020-01-03,129
2020-01-04,180
2020-01-05,122
2020-01-06,34
2020-01-07,474
2020-01-08,153
2020-01-09,264
2020-01-10,226
2020-01-11,225
2020-01-12,85
2020-01-13,77
2020-01-14,219
2020-01-15,70
2020-01-16,209
2020-01-17,304
2020-01-18,204
2020-01-19,122
2020-01-20,63
2020-01-21,333
2020-01-22,228
2020-01-23,93
2020-01-24,284
2020-01-25,304
2020-01-26,151
2020-01-27,22
2020-01-28,246
2020-01-29,219
2020-01-30,183
2020-01-31,159
2020-02-01,179
2020-02-02,254
2020-02-03,162
2020-02-04,393
2020-02-05,80
2020-02-06,269
2020-02-07,268
2020-02-08,200
2020-02-09,161
2020-02-10,80
2020-02-11,417
2020-02-12,105
2020-02-13,136
2020-02-14,278
2020-02-15,160
2020-02-16,142
2020-02-17,49
2020-02-18,437
2020-02-19,163
2020-02-20,256
2020-02-21,148
2020-02-22,157
2020-02-23,323
2020-02-24,4
2020-02-25,159
2020-02-26,56
2020-02-27,265
2020-02-28,183
2020-02-29,295
2020-03-01,144
2020-03-02,14
2020-03-03,303
2020-03-04,154
2020-03-05,169
2020-03-06,522
2020-03-07,338
2020-03-08,72
2020-03-09,0
2020-03-10,222
2020-03-11,268
2020-03-12,149
2020-03-13,297
2020-03-14,349
2020-03-15,192
2020-03-16,0
2020-03-17,234
2020-03-18,414
2020-03-19,196
2020-03-20,34
2020-03-21,354
2020-03-22,73
2020-03-23,99
2020-03-24,40
2020-03-25,129
2020-03-26,285
2020-03-27,113
2020-03-28,370
2020-03-29,70
2020-03-30,274
2020-03-31,127
2020-04-01,57
2020-04-02,136
2020-04-03,25
2020-04-04,172
2020-04-05,17
2020-04-06,113
2020-04-07,112
2020-04-08,308
2020-04-09,34
2020-04-10,0
2020-04-11,322
2020-04-12,0
2020-04-13,38
2020-04-14,191
2020-04-15,35
2020-04-16,247
2020-04-17,213
2020-04-18,22
2020-04-19,69
2020-04-20,118
2020-04-21,94
2020-04-22,91
2020-04-23,110
2020-04-24,54
2020-04-25,65
2020-04-26,0
2020-04-27,66
2020-04-28,215
2020-04-29,123
2020-04-30,124
2020-05-01,25
2020-05-02,116
2020-05-03,30
2020-05-04,71
2020-05-05,305
2020-05-06,51
2020-05-07,38
2020-05-08,125
2020-05-09,35
